Poland,Pólland,Póllandi,pólska,pólsku 
Rwanda,"Rúanda
Rwanda",Rúanda,"enska 
franska 
rúandska ","ensku 
frönsku 
rúöndsku "
Romania,Rúmenía,Rúmeníu,"rúm­enska 
","rúm­ensku 
"
"Russian
Federation
(the)",Rúss­land,Rússlandi,rúss­neska ,rúss­nesku 
Solomon Islands,Salómons­eyjar,Salómonseyjum,enska,ensku
Zambia,"Sambía
Zambia",Sambíu,enska,ensku
"United
Arab
Emirates
(the)",Samein­uðu arab­ísku fursta­dæmin,Sameinuðu arabísku furstadæmunum,arab­íska ,arab­ísku 
Samoa,Samóa,Samóa,"enska 
sam­óska ","ensku 
sam­ósku "
San Marino,San Marínó,San Marínó,ítalska ,ítölsku 
Saint Kitts and Nevis,Sankti Kitts og Nevis,Sankti Kitts og Nevis,enska,ensku
Saint Lucia,Sankti Lúsía,Sankti Lúsíu,enska,ensku
"Saint
Vincent
and
the Grenad­ines",Sankti Vinsent og Gren­adín­ur,Sankti Vinsent og Grenadínum,"enska 
","ensku 
"
Sao Tome and Principe,Saó Tóme og Prins­ípe,Saó Tóme og Prinsípe,port­úgalska ,port­úgölsku 
Saudi Arabia,Sádi-Arabía,Sádi-Arabíu,arabíska ,arabísku 
Senegal,Senegal,Senegal,franska,frönsku
Serbia,Serbía,Serbíu,serb­neska ,serb­nesku 
Seych­elles,Seych­ell­es-eyjar,Seychelles-eyjum,"enska
franska
seych­ell­es­eyska ","ensku
frönsku
seych­ell­es­eysku "
Zimbabwe,"Simbabve
Zimbabwe",Simbabve,enska,ensku
Singa­pore,"Sing­apúr
Sing­apore",Singapúr,"enska 
kínverska 
malajíska 
tamíl 
","ensku 
kínversku 
malajísku 
tamíl 
"
Sierra Leone,Síerra Leóne,Síerra Leóne,enska,ensku
Chile,"Síle
→ Chile,
Síle",Síle / Chile,"spænska 
 ","spænsku 
 "
Slovakia,Slóvakía,Slóvakíu,slóvak­íska ,slóvak­ísku 
Slovenia,Slóvenía,Slóveníu,slóvenska ,slóvensku 
Somalia,Sómalía,Sómalíu,"arabíska
sómal­íska 
","arabísku
sómal­ísku 
"
 Spain,Spánn,Spáni,"spænska
 ","spænsku
 "
Sri Lanka,Srí Lanka,Srí Lanka,"enska 
singal­íska 
tamíl ","ensku 
singal­ísku 
tamíl "
South Africa,Suður-Afríka,Suður-Afríku,"afríkanska 
botsvanska 
enska 
ndebele 
norður­sótó 
suður­sótó 
súlúska 
svas­lenska 
tsonga 
venda 
xhósa ","afríkönsku 
botsvönsku 
ensku 
ndebele 
norður­sótó 
suður­sótó 
súlúsku 
svas­lensku 
tsonga 
venda 
xhósa "
South Sudan,Suður-Súdan,Suður-Súdan,enska,ensku
Sudan (the),Súdan,Súdan,arabíska,arabísku
Suriname,Súrínam,Súrínam,hollenska,hollensku
Monte­negro,"Svart­fjalla­land
→Mont­en­egró, 
Svart­fjalla­land",Svartfjallalandi,svart­fellska ,svart­fellsku 
Switzer­land,Sviss,Sviss,"franska 

ítalska 

retó­róm­anska 

þýska 
","frönsku 

ítölsku 

retó­róm­önsku 

þýsku 
"
Sweden,Svíþjóð,Svíþjóð,"sænska 
","sænsku 
"
Syrian Arab Republic,Sýrland,Sýrlandi,arabíska ,arabísku 
Tajik­istan,Tads­íkist­an,Tadsíkistan,tads­íska ,tads­ísku 
Thai­land,"Taíland
Thailand",Taílandi,"taí­lenska 
","taí­lensku 
"
"Tanzania,
United 
Republic
of",Tansanía,Tansaníu,"enska 

svahílí ","ensku 

svahílí "
"Czech
Republic
(the)",Tékkland,Tékklandi,tékk­neska ,tékk­nesku 
Timor-Leste,Tímor-Leste,Tímor-Leste,"port­úgalska 

tím­orska ","port­úgölsku 

tím­orsku "
Chad,"Tjad → 
Chad, 
Tjad",Tjad,"arabíska 
franska ","arabísku 
frönsku "
Tonga,Tonga,Tonga,"enska 

tong­verska ","ensku 

tong­versku "
Togo,Tógó,Tógó,franska,frönsku
Trinidad and Tobago,Trínidad og Tóbagó,Trínidad og Tóbagó,enska,ensku
Tunisia,Túnis,Túnis,arabíska ,arabísku 
Turk­meni­stan,Túrk­men­istan,Túrkmenistan,"túrk­menska 
","túrk­mensku 
"
Tuvalu,Túvalú,Túvalú,"enska 
túv­alúska ","ensku 
túv­alúsku "
Turkey,Tyrkland,Tyrklandi,tyrk­neska ,tyrk­nesku 
Hungary,Ungverja­land,Ungverjalandi,ung­verska ,ung­versku 
Uganda,Úganda,Úganda,enska,ensku
Ukraine,Úkraína,Úkraínu,úkraínska,úkraínsku
Uruguay,"Úrúgvæ
Uruguay",Úrúgvæ,spænska ,spænsku 
Uzbeki­stan,Úsbek­istan,Úsbekistan,úsbekska ,úsbeksku 
Vanuatu,Vanúatú,Vanúatú,"bíslama 
enska 
franska ","bíslama 
ensku 
frönsku "
Vatican City State,"Vatíkanið
→Páfa­garður,
Vatíkanið",Vatíkaninu,ítalska ,ítölsku 
"Venezuela
(Bolivarian
Republic
of)",Ven­es­úela,Venesúela,spænska ,spænsku 
Viet Nam,Víetnam,Víetnam,víet­namska ,víet­nömsku 
Zambia,"Zambia → Sambía, Zambia",Sambíu,enska,ensku
Zimbabwe,"Zimbabwe
→ Simbabve,
Zimbabwe",Simbabve,enska,ensku
Germany,Þýskaland,Þýskalandi,þýska,þýsku
